Topic: test-topic-0000000-1000-5FPR4wg  TopicId: GqXYichCSZOEPoLD--xQrA PartitionCount: 1000    ReplicationFactor: 3    Configs: min.insync.replicas=2,retention.ms=86400000,message.format.version=3.0-IV1,unclean.leader.election.enable=true
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 213  Leader: 13      Replicas: 13,11,9       Isr: 13,11,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 214  Leader: 1       Replicas: 1,12,3        Isr: 1,12,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 215  Leader: 2       Replicas: 2,10,6        Isr: 2,10,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 216  Leader: 7       Replicas: 7,15,14       Isr: 7,15,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 217  Leader: 4       Replicas: 4,8,5 Isr: 4,8,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 218  Leader: 9       Replicas: 9,13,11       Isr: 9,13,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 219  Leader: 3       Replicas: 3,1,12        Isr: 3,1,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 220  Leader: 6       Replicas: 6,2,10        Isr: 6,2,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 221  Leader: 14      Replicas: 14,7,15       Isr: 14,7,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 222  Leader: 5       Replicas: 5,4,8 Isr: 5,4,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 223  Leader: 11      Replicas: 11,9,13       Isr: 11,9,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 224  Leader: 12      Replicas: 12,3,1        Isr: 12,3,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 225  Leader: 2       Replicas: 2,11,13       Isr: 2,11,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 226  Leader: 1       Replicas: 1,3,14        Isr: 1,3,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 227  Leader: 10      Replicas: 10,12,6       Isr: 10,12,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 228  Leader: 8       Replicas: 8,4,5 Isr: 8,4,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 229  Leader: 15      Replicas: 15,7,9        Isr: 15,7,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 230  Leader: 13      Replicas: 13,2,11       Isr: 13,2,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 231  Leader: 14      Replicas: 14,1,3        Isr: 14,1,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 232  Leader: 6       Replicas: 6,10,12       Isr: 6,10,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 233  Leader: 5       Replicas: 5,8,4 Isr: 5,8,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 234  Leader: 9       Replicas: 9,15,7        Isr: 9,15,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 235  Leader: 11      Replicas: 11,13,2       Isr: 11,13,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 236  Leader: 3       Replicas: 3,14,1        Isr: 3,14,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 237  Leader: 12      Replicas: 12,6,10       Isr: 12,6,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 238  Leader: 4       Replicas: 4,5,8 Isr: 4,5,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 239  Leader: 7       Replicas: 7,9,15        Isr: 7,9,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 240  Leader: 9       Replicas: 9,7,6 Isr: 9,7,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 241  Leader: 10      Replicas: 10,15,12      Isr: 10,15,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 242  Leader: 11      Replicas: 11,14,5       Isr: 11,14,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 243  Leader: 8       Replicas: 8,3,4 Isr: 8,3,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 244  Leader: 13      Replicas: 13,1,2        Isr: 13,1,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 245  Leader: 6       Replicas: 6,9,7 Isr: 6,9,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 246  Leader: 12      Replicas: 12,10,15      Isr: 12,10,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 247  Leader: 5       Replicas: 5,11,14       Isr: 5,11,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 248  Leader: 4       Replicas: 4,8,3 Isr: 4,8,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 249  Leader: 2       Replicas: 2,13,1        Isr: 2,13,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 250  Leader: 7       Replicas: 7,6,9 Isr: 7,6,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 251  Leader: 15      Replicas: 15,12,10      Isr: 15,12,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 252  Leader: 14      Replicas: 14,5,11       Isr: 14,5,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 253  Leader: 3       Replicas: 3,4,8 Isr: 3,4,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 254  Leader: 1       Replicas: 1,2,13        Isr: 1,2,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 255  Leader: 1       Replicas: 1,5,14        Isr: 1,5,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 256  Leader: 13      Replicas: 13,9,6        Isr: 13,9,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 257  Leader: 12      Replicas: 12,11,3       Isr: 12,11,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 258  Leader: 4       Replicas: 4,7,8 Isr: 4,7,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 259  Leader: 10      Replicas: 10,2,15       Isr: 10,2,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 260  Leader: 14      Replicas: 14,1,5        Isr: 14,1,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 261  Leader: 6       Replicas: 6,13,9        Isr: 6,13,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 262  Leader: 3       Replicas: 3,12,11       Isr: 3,12,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 263  Leader: 8       Replicas: 8,4,7 Isr: 8,4,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 264  Leader: 15      Replicas: 15,10,2       Isr: 15,10,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 265  Leader: 5       Replicas: 5,14,1        Isr: 5,14,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 266  Leader: 9       Replicas: 9,6,13        Isr: 9,6,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 267  Leader: 11      Replicas: 11,3,12       Isr: 11,3,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 268  Leader: 7       Replicas: 7,8,4 Isr: 7,8,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 269  Leader: 2       Replicas: 2,15,10       Isr: 2,15,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 270  Leader: 6       Replicas: 6,13,9        Isr: 6,13,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 271  Leader: 5       Replicas: 5,12,11       Isr: 5,12,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 272  Leader: 8       Replicas: 8,1,7 Isr: 8,1,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 273  Leader: 4       Replicas: 4,3,2 Isr: 4,3,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 274  Leader: 10      Replicas: 10,14,15      Isr: 10,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 275  Leader: 9       Replicas: 9,6,13        Isr: 9,6,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 276  Leader: 11      Replicas: 11,5,12       Isr: 11,5,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 277  Leader: 7       Replicas: 7,8,1 Isr: 7,8,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 278  Leader: 2       Replicas: 2,4,3 Isr: 2,4,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 279  Leader: 15      Replicas: 15,10,14      Isr: 15,10,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 280  Leader: 13      Replicas: 13,9,6        Isr: 13,9,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 281  Leader: 12      Replicas: 12,11,5       Isr: 12,11,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 282  Leader: 1       Replicas: 1,7,8 Isr: 1,7,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 283  Leader: 3       Replicas: 3,2,4 Isr: 3,2,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 284  Leader: 14      Replicas: 14,15,10      Isr: 14,15,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 285  Leader: 2       Replicas: 2,10,11       Isr: 2,10,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 286  Leader: 5       Replicas: 5,4,8 Isr: 5,4,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 287  Leader: 6       Replicas: 6,12,3        Isr: 6,12,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 288  Leader: 14      Replicas: 14,13,15      Isr: 14,13,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 289  Leader: 7       Replicas: 7,1,9 Isr: 7,1,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 290  Leader: 11      Replicas: 11,2,10       Isr: 11,2,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 291  Leader: 8       Replicas: 8,5,4 Isr: 8,5,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 292  Leader: 3       Replicas: 3,6,12        Isr: 3,6,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 293  Leader: 15      Replicas: 15,14,13      Isr: 15,14,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 294  Leader: 9       Replicas: 9,7,1 Isr: 9,7,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 295  Leader: 10      Replicas: 10,11,2       Isr: 10,11,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 296  Leader: 4       Replicas: 4,8,5 Isr: 4,8,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 297  Leader: 12      Replicas: 12,3,6        Isr: 12,3,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 298  Leader: 13      Replicas: 13,15,14      Isr: 13,15,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 299  Leader: 1       Replicas: 1,9,7 Isr: 1,9,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 300  Leader: 10      Replicas: 10,8,6        Isr: 10,8,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 301  Leader: 14      Replicas: 14,15,7       Isr: 14,15,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 302  Leader: 1       Replicas: 1,13,2        Isr: 1,13,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 303  Leader: 3       Replicas: 3,12,4        Isr: 3,12,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 304  Leader: 9       Replicas: 9,11,5        Isr: 9,11,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 305  Leader: 6       Replicas: 6,10,8        Isr: 6,10,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 306  Leader: 7       Replicas: 7,14,15       Isr: 7,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 307  Leader: 2       Replicas: 2,1,13        Isr: 2,1,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 308  Leader: 4       Replicas: 4,3,12        Isr: 4,3,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 309  Leader: 5       Replicas: 5,9,11        Isr: 5,9,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 310  Leader: 8       Replicas: 8,6,10        Isr: 8,6,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 311  Leader: 15      Replicas: 15,7,14       Isr: 15,7,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 312  Leader: 13      Replicas: 13,2,1        Isr: 13,2,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 313  Leader: 12      Replicas: 12,4,3        Isr: 12,4,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 314  Leader: 11      Replicas: 11,5,9        Isr: 11,5,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 315  Leader: 11      Replicas: 11,5,9        Isr: 11,5,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 316  Leader: 10      Replicas: 10,14,15      Isr: 10,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 317  Leader: 12      Replicas: 12,1,13       Isr: 12,1,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 318  Leader: 4       Replicas: 4,7,2 Isr: 4,7,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 319  Leader: 3       Replicas: 3,8,6 Isr: 3,8,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 320  Leader: 9       Replicas: 9,11,5        Isr: 9,11,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 321  Leader: 15      Replicas: 15,10,14      Isr: 15,10,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 322  Leader: 13      Replicas: 13,12,1       Isr: 13,12,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 323  Leader: 2       Replicas: 2,4,7 Isr: 2,4,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 324  Leader: 6       Replicas: 6,3,8 Isr: 6,3,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 325  Leader: 5       Replicas: 5,9,11        Isr: 5,9,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 326  Leader: 14      Replicas: 14,15,10      Isr: 14,15,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 327  Leader: 1       Replicas: 1,13,12       Isr: 1,13,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 328  Leader: 7       Replicas: 7,2,4 Isr: 7,2,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 329  Leader: 8       Replicas: 8,6,3 Isr: 8,6,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 330  Leader: 6       Replicas: 6,13,12       Isr: 6,13,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 331  Leader: 7       Replicas: 7,2,4 Isr: 7,2,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 332  Leader: 14      Replicas: 14,15,3       Isr: 14,15,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 333  Leader: 1       Replicas: 1,10,9        Isr: 1,10,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 334  Leader: 5       Replicas: 5,8,11        Isr: 5,8,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 335  Leader: 12      Replicas: 12,6,13       Isr: 12,6,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 336  Leader: 4       Replicas: 4,7,2 Isr: 4,7,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 337  Leader: 3       Replicas: 3,14,15       Isr: 3,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 338  Leader: 9       Replicas: 9,1,10        Isr: 9,1,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 339  Leader: 11      Replicas: 11,5,8        Isr: 11,5,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 340  Leader: 13      Replicas: 13,12,6       Isr: 13,12,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 341  Leader: 2       Replicas: 2,4,7 Isr: 2,4,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 342  Leader: 15      Replicas: 15,3,14       Isr: 15,3,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 343  Leader: 10      Replicas: 10,9,1        Isr: 10,9,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 344  Leader: 8       Replicas: 8,11,5        Isr: 8,11,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 345  Leader: 4       Replicas: 4,2,13        Isr: 4,2,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 346  Leader: 9       Replicas: 9,7,11        Isr: 9,7,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 347  Leader: 10      Replicas: 10,15,12      Isr: 10,15,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 348  Leader: 6       Replicas: 6,14,5        Isr: 6,14,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 349  Leader: 8       Replicas: 8,3,1 Isr: 8,3,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 350  Leader: 13      Replicas: 13,4,2        Isr: 13,4,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 351  Leader: 11      Replicas: 11,9,7        Isr: 11,9,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 352  Leader: 12      Replicas: 12,10,15      Isr: 12,10,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 353  Leader: 5       Replicas: 5,6,14        Isr: 5,6,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 354  Leader: 1       Replicas: 1,8,3 Isr: 1,8,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 355  Leader: 2       Replicas: 2,13,4        Isr: 2,13,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 356  Leader: 7       Replicas: 7,11,9        Isr: 7,11,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 357  Leader: 15      Replicas: 15,12,10      Isr: 15,12,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 358  Leader: 14      Replicas: 14,5,6        Isr: 14,5,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 359  Leader: 3       Replicas: 3,1,8 Isr: 3,1,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 360  Leader: 10      Replicas: 10,14,15      Isr: 10,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 361  Leader: 2       Replicas: 2,6,3 Isr: 2,6,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 362  Leader: 4       Replicas: 4,7,8 Isr: 4,7,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 363  Leader: 13      Replicas: 13,9,11       Isr: 13,9,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 364  Leader: 12      Replicas: 12,1,5        Isr: 12,1,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 365  Leader: 15      Replicas: 15,10,14      Isr: 15,10,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 366  Leader: 3       Replicas: 3,2,6 Isr: 3,2,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 367  Leader: 8       Replicas: 8,4,7 Isr: 8,4,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 368  Leader: 11      Replicas: 11,13,9       Isr: 11,13,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 369  Leader: 5       Replicas: 5,12,1        Isr: 5,12,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 370  Leader: 14      Replicas: 14,15,10      Isr: 14,15,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 371  Leader: 6       Replicas: 6,3,2 Isr: 6,3,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 372  Leader: 7       Replicas: 7,8,4 Isr: 7,8,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 373  Leader: 9       Replicas: 9,11,13       Isr: 9,11,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 374  Leader: 1       Replicas: 1,5,12        Isr: 1,5,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 375  Leader: 10      Replicas: 10,14,15      Isr: 10,14,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 376  Leader: 12      Replicas: 12,4,13       Isr: 12,4,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 377  Leader: 11      Replicas: 11,5,8        Isr: 11,5,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 378  Leader: 7       Replicas: 7,2,1 Isr: 7,2,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 379  Leader: 9       Replicas: 9,6,3 Isr: 9,6,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 380  Leader: 15      Replicas: 15,10,14      Isr: 15,10,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 381  Leader: 13      Replicas: 13,12,4       Isr: 13,12,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 382  Leader: 8       Replicas: 8,11,5        Isr: 8,11,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 383  Leader: 1       Replicas: 1,7,2 Isr: 1,7,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 384  Leader: 3       Replicas: 3,9,6 Isr: 3,9,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 385  Leader: 14      Replicas: 14,15,10      Isr: 14,15,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 386  Leader: 4       Replicas: 4,13,12       Isr: 4,13,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 387  Leader: 5       Replicas: 5,8,11        Isr: 5,8,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 388  Leader: 2       Replicas: 2,1,7 Isr: 2,1,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 389  Leader: 6       Replicas: 6,3,9 Isr: 6,3,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 390  Leader: 3       Replicas: 3,1,9 Isr: 3,1,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 391  Leader: 4       Replicas: 4,8,13        Isr: 4,8,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 392  Leader: 14      Replicas: 14,5,11       Isr: 14,5,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 393  Leader: 7       Replicas: 7,6,12        Isr: 7,6,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 394  Leader: 15      Replicas: 15,2,10       Isr: 15,2,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 395  Leader: 9       Replicas: 9,3,1 Isr: 9,3,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 396  Leader: 13      Replicas: 13,4,8        Isr: 13,4,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 397  Leader: 11      Replicas: 11,14,5       Isr: 11,14,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 398  Leader: 12      Replicas: 12,7,6        Isr: 12,7,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 399  Leader: 10      Replicas: 10,15,2       Isr: 10,15,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 400  Leader: 1       Replicas: 1,9,3 Isr: 1,9,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 401  Leader: 8       Replicas: 8,13,4        Isr: 8,13,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 402  Leader: 5       Replicas: 5,11,14       Isr: 5,11,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 403  Leader: 6       Replicas: 6,12,7        Isr: 6,12,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 404  Leader: 2       Replicas: 2,10,15       Isr: 2,10,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 405  Leader: 1       Replicas: 1,10,14       Isr: 1,10,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 406  Leader: 3       Replicas: 3,12,4        Isr: 3,12,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 407  Leader: 8       Replicas: 8,6,5 Isr: 8,6,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 408  Leader: 11      Replicas: 11,13,9       Isr: 11,13,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 409  Leader: 7       Replicas: 7,2,15        Isr: 7,2,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 410  Leader: 14      Replicas: 14,1,10       Isr: 14,1,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 411  Leader: 4       Replicas: 4,3,12        Isr: 4,3,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 412  Leader: 5       Replicas: 5,8,6 Isr: 5,8,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 413  Leader: 9       Replicas: 9,11,13       Isr: 9,11,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 414  Leader: 15      Replicas: 15,7,2        Isr: 15,7,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 415  Leader: 10      Replicas: 10,14,1       Isr: 10,14,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 416  Leader: 12      Replicas: 12,4,3        Isr: 12,4,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 417  Leader: 6       Replicas: 6,5,8 Isr: 6,5,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 418  Leader: 13      Replicas: 13,9,11       Isr: 13,9,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 419  Leader: 2       Replicas: 2,15,7        Isr: 2,15,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 420  Leader: 7       Replicas: 7,4,2 Isr: 7,4,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 421  Leader: 11      Replicas: 11,14,13      Isr: 11,14,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 422  Leader: 8       Replicas: 8,5,15        Isr: 8,5,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 423  Leader: 3       Replicas: 3,6,12        Isr: 3,6,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 424  Leader: 1       Replicas: 1,9,10        Isr: 1,9,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 425  Leader: 2       Replicas: 2,7,4 Isr: 2,7,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 426  Leader: 13      Replicas: 13,11,14      Isr: 13,11,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 427  Leader: 15      Replicas: 15,8,5        Isr: 15,8,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 428  Leader: 12      Replicas: 12,3,6        Isr: 12,3,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 429  Leader: 10      Replicas: 10,1,9        Isr: 10,1,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 430  Leader: 4       Replicas: 4,2,7 Isr: 4,2,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 431  Leader: 14      Replicas: 14,13,11      Isr: 14,13,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 432  Leader: 5       Replicas: 5,15,8        Isr: 5,15,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 433  Leader: 6       Replicas: 6,12,3        Isr: 6,12,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 434  Leader: 9       Replicas: 9,10,1        Isr: 9,10,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 435  Leader: 1       Replicas: 1,2,5 Isr: 1,2,5
