Topic: test-topic-0000000-1000-5FPR4wg  TopicId: GqXYichCSZOEPoLD--xQrA PartitionCount: 1000    ReplicationFactor: 3    Configs: min.insync.replicas=2,retention.ms=86400000,message.format.version=3.0-IV1,unclean.leader.election.enable=true
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 49   Leader: 3       Replicas: 3,6,8 Isr: 3,6,8
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 50   Leader: 1       Replicas: 1,2,13        Isr: 1,2,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 51   Leader: 9       Replicas: 9,5,15        Isr: 9,5,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 52   Leader: 7       Replicas: 7,11,14       Isr: 7,11,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 53   Leader: 4       Replicas: 4,12,10       Isr: 4,12,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 54   Leader: 8       Replicas: 8,3,6 Isr: 8,3,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 55   Leader: 13      Replicas: 13,1,2        Isr: 13,1,2
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 56   Leader: 15      Replicas: 15,9,5        Isr: 15,9,5
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 57   Leader: 14      Replicas: 14,7,11       Isr: 14,7,11
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 58   Leader: 10      Replicas: 10,4,12       Isr: 10,4,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 59   Leader: 6       Replicas: 6,8,3 Isr: 6,8,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 60   Leader: 10      Replicas: 10,12,15      Isr: 10,12,15
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 61   Leader: 8       Replicas: 8,6,7 Isr: 8,6,7
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 62   Leader: 11      Replicas: 11,3,9        Isr: 11,3,9
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 63   Leader: 5       Replicas: 5,14,4        Isr: 5,14,4
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 64   Leader: 2       Replicas: 2,1,13        Isr: 2,1,13
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 65   Leader: 15      Replicas: 15,10,12      Isr: 15,10,12
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 66   Leader: 7       Replicas: 7,8,6 Isr: 7,8,6
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 67   Leader: 9       Replicas: 9,11,3        Isr: 9,11,3
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 68   Leader: 4       Replicas: 4,5,14        Isr: 4,5,14
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 69   Leader: 13      Replicas: 13,2,1        Isr: 13,2,1
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 70   Leader: 12      Replicas: 12,15,10      Isr: 12,15,10
        Topic: test-topic-0000000-1000-5FPR4wg  Partition: 71   Leader: 6       Replicas: 6,7,8 Isr: 6,7,8
